"","Area","Diameter","Height","Length","Major.Axis.Intensity","Major.Axis","Minor.Axis.Intensity","Minor.Axis","Perimeter","Spot.Area.Min","Thickness.Max","Thickness.Min","Width","Aspect.Ratio.Intensity","Aspect.Ratio","Circularity","Compactness","Elongatedness","Lobe.Count","Shape.Ratio","Symmetry.2","Symmetry.3","Symmetry.4","BDI.R3","BDI.R7","Contrast","Modulation","Spot.Count","Std.Dev","Ckit","Sca1","Region"
"1954",181,15.18463857,16,16,10.90421838,16.4988516,8.30499024,13.9836025,64,181,14,12,14,0.761630953,0.84755005,11.7127926,0.525369518,1.142857143,2,0.75,18.8342231,8.41200366,1.756200665,7010,1019,19.02658161,0.143029572,1,59.53931174,7559.109375,4255.078125,"R3+TPO"
"2036",140,13.35454788,14,14,8.026062952,13.77937898,7.251492508,12.92511163,58,140,14,12,13,0.903493101,0.93800393,14.44144183,0.513570111,1.076923077,4,0.857142857,3.191251734,2.549907536,8.565214979,4093.000008,583.0000024,22.34727537,0.14619883,1,55.04633067,2520.125,1473.5,"R2+TPO"
"2163",171,14.7592139,15,15,10.53130577,15.16222664,8.371468105,14.41550642,62,171,14,12,14,0.794912643,0.950751282,14.72034671,0.514355907,1.071428571,4,0.8,5.8125868,4.502303618,7.9551471,5108.999977,373,22.09997471,0.154586273,1,54.82170098,4789.955357,2241.241071,"R3+TPO"
"2229",123,12.51750367,13,13,8.725867196,12.89079362,7.441695648,12.17535345,54,123,12,10,12,0.852831642,0.944499913,12.97620306,0.531686846,1.083333333,3,0.769230769,7.238737721,8.959096572,3.382033167,3540.999997,412.0000024,14.08740573,0.128005198,1,45.30161259,2276.527778,1418.847222,"R2+TPO"
"2586",133,13.01640317,14,14,8.921589983,13.33745301,6.382009565,12.7076863,56,133,14,12,12,0.715344415,0.952782086,13.62769052,0.483572219,1.166666667,2,0.857142857,16.1986519,7.798422022,1.523718127,4774,304.0000036,18.62955465,0.120879121,1,49.34434152,3924.72,2411.97,"R2+TPO"
"2688",138,13.25881512,13,13,7.682474321,14.84212409,3.774415986,11.85685955,56,138,12,12,13,0.491302128,0.79886541,8.902153934,0.402482113,1,4,0.923076923,36.79361364,4.148400047,16.13795911,5668.999999,455.0000033,22.73966402,0.185349612,1,75.69534833,6209.354839,6647.903226,"R3+TPO"
"2700",158,14.18710278,17,17,7.862552749,18.66333737,2.425985636,11.32838461,64,158,12,8,12,0.308549362,0.606986006,4.076558624,0.312581536,1.416666667,4,0.470588235,63.33815031,5.436461767,22.62013811,14073,1592,187.0124198,0.437348424,1,263.3146277,3804.995327,27259.48598,"R3+TPO"
"2716",156,14.09702503,14,14,9.734355142,14.45870955,7.987672121,13.83918242,58,156,14,12,13,0.820565102,0.957151976,13.38423042,0.447928432,1.076923077,4,0.857142857,10.03692186,9.115747366,14.36728793,5321.000032,414.0000191,20.92389713,0.182058047,1,55.61660038,6011.365,3282.855,"R3+TPO"
"2826",139,13.30676759,13,13,8.764558999,13.57146052,7.376470814,13.05167335,56,139,14,12,13,0.841624868,0.961699983,15.00875253,0.545666685,1,4,0.923076923,8.703932815,6.373613475,6.119785257,4249.999998,1312.000009,14.1521921,0.134803922,1,51.57654258,3162.87,2097.68,"R2+TPO"
"2842",124,12.56828482,13,13,10.36131389,13.43236526,7.610529829,11.90559782,54,124,12,10,12,0.734513973,0.886336664,9.505759783,0.535758534,1.083333333,4,0.769230769,18.83922461,7.559180815,15.26108615,3373.99999,267.9999998,9.522096,0.076732673,1,31.48023821,6873.428571,3637.75,"R3+TPO"
